source_index,company,rating,review,actual,predicted,confidence,error_reason,p_negative,p_neutral,p_positive
1418,FPT Software,3,"Tốt cho người mới . Môi trường làm việc chuyên nghiệp và năng động, với cơ hội được làm việc trong các dự án lớn và có cơ hội học hỏi, phát triển bản thân.
Chính sách làm thêm giờ tại có thể gây không hài lòng vì thiếu sự minh bạch hoặc không công bằng trong cách tính toán và chi trả. . Cần có một chính sách minh bạch, công bằng và rõ ràng hơn về việc tính giờ làm thêm và bồi thường. Công ty nên đưa ra các khoản hỗ trợ hoặc ngày nghỉ bù phù hợp để tạo sự thoải mái cho nhân viên.",Neutral,Positive,0.972434950956844,Phủ định hoặc cấu trúc phức tạp,0.017501268108347803,0.010063780934808177,0.972434950956844
4736,LG CNS Việt Nam,3,"Working environment is very good!! . Công ty có trang thiết bị cho nhân viên xịn xò, vừa bước vào nhận chỗ đã được nhận màn hình 35 inch xịn xò, laptop gram đắt tiền + performance tốt. Đồng nghiệp thân thiện, support lẫn nhau những lúc khó khăn. Thời gian làm việc thoải mái linh hoạt, môi trường mở làm việc với người nước ngoài, có cơ hội phát triển khả năng ngoại ngữ. Công ty luôn mua đồ ăn cho nhân viên để tiếp sức những lúc mệt mỏi. Đặc biệt hàng tháng sẽ có nhữung sự kiện để nâng cao tinh thần làm việc cho anh em như Developers' Day.... Đặc biệt là không phải OT, mang việc về nhà, giúp bản thân cân bằng được cuộc sống và công việc.
we are paid overtime following Vietnam labor policy . N/A
Company is very good and there's none of suggestion for improvement",Neutral,Positive,0.9511162712836154,Phủ định hoặc cấu trúc phức tạp,0.001086185439158271,0.04779754327722619,0.9511162712836154
2592,FPT Software,2,"môi trường thoải mái thân thiện . Môi trường thoải mái, thư giãn, không gian trong lành, đồng nghiệp thân thiện, đầu vào dễ
có nhà nghỉ cho nhân viên ON 100k/người =))), OT rõ ràng vì có tool . lương thấp, hay phải OT, sếp đánh giá cảm tính, tăng lương ít",Negative,Neutral,0.9504749550448051,Phủ định hoặc cấu trúc phức tạp,0.025914704315111097,0.9504749550448051,0.023610340640083983
8121,VNG Corporation,3,"Môi trường năng động . Phòng tập gym, hoạt động thể dục thể thao, môi trường đa dạng ngành nghề
Tuy thuộc theo nhu cầu công việc, đôi khi phải OT liên tục để release, nhưng đôi khi rất nhàn, có time để research . Phụ thuộc theo product, chính sách khác nhau giữa các product",Neutral,Positive,0.9480000840559488,Mixed sentiment / nhiều vế ý,0.002399533481656012,0.04960038246239516,0.9480000840559488
127,"AZPLAYS Co., LTD",3,"Công ty ổn áp, chỉ làm xa nhà chứ mọi phúc lợi đều tốt . Công ty luôn cấp phát trái cây bánh kẹo tuần 2 lần, đồ ăn tủ lạnh lúc nào cũng full ko lo đói
Nếu vào mùa nhiều dự án mới phải OT, nhưng thời gian OT ít, lương x2, x3 tùy giờ nên cũng xứng đáng . Nếu công ty mở lại chi nhánh ở HCM thì tốt gần nhà hơn, nhưng mức lương khi làm xa thì lại cao hơn",Neutral,Positive,0.9393749699481029,Mixed sentiment / nhiều vế ý,0.012158056492230566,0.04846697355966648,0.9393749699481029
5477,NashTech,5,"Môi trường thoải mái . - Giờ giấc thoải mái
- Bãi xe rộng
- Đồng nghiệp thân thiện
- Có nhiều người giỏi xung quanh có thể học hỏi được
Thường thì không có OT, tùy dự án . - Lương lên chậm
- Đôi khi ko có dự án, ngồi chơi khá lâu",Positive,Neutral,0.934084380744681,Phủ định hoặc cấu trúc phức tạp,0.007178455550447729,0.934084380744681,0.05873716370487131
5329,NashTech,3,"Đội ngũ PM yếu kém và bao che khuyết điểm cho nhau . Có chế độ sức khoẻ cho bản thân và người thân, work-life balance OK.
Ít OT và đôi khi có lương, nhưng tuỳ thuộc vào khả năng đàm phán của PM . Quản lý yếu, dột từ nóc. Những thứ quản lý cần làm được thì không làm, đẩy xuống cho anh em ở dưới, anh em làm được thì công của quản lý vì ""biết trao quyền"", không làm được thì do anh em không đạt KPI.
Điển hình có những PM đòi member xịn, không xịn thì mách lẻo, mách lẻo không được thì dỗi, trong khi vai trò PM là team builder thì không làm được.
Lương của NT thấp hơn nhiều so với mặt bằng chung, khi tình hình khó khăn thay vì tìm cách để xử lý thì lại đi gas lighting member là thiếu kỹ năng này kỹ năng nọ để tìm cách dìm lương.
KPI không rõ ràng, thấy mấy anh chị LM feedback liên tục qua nhiều năm mà khả năng set KPI của PM chỉ tương đương bài văn tả cảnh của học sinh cấp 2: không có số liệu cụ thể, dùng toàn từ ngữ chung chung, đôi khi không rõ họ lên chức PM bằng cách nào.
HR càng ngày càng quá đáng, hết phải đóng thêm quỹ mới có quà, quà thì toàn thứ vớ vẩn không có ý nghĩa gì, mua cho có. Khi feedback thì HRM đổ tội cho member là kêu nhiều quá.
Là nasher gạo cội (>7 năm làm việc), tôi thấy đội ngũ PM, HRM, RMO càng ngày càng yếu từ 2 năm đổ lại đây.",Neutral,Negative,0.9328115925277857,Mixed sentiment / nhiều vế ý,0.9328115925277857,0.04239727837564742,0.024791129096567107
7529,TRUONG MINH THINH TECHNOLOGY JOINT STOCK COMPANY,4,"Sếp tốt, giờ giấc thoải mái . Thời gian làm việc thoải mái, sếp tốt, đồng nghiệp thân thiện . OT nhiều, review lương chậm, bãi xe chật chội, dự án maintain là chính
OT nhiều ko có lương, ko dc xếp xem xét đúng mức.",Positive,Neutral,0.9295688224286763,Label noise hoặc tín hiệu TF-IDF chưa đủ,0.037266455141139694,0.9295688224286763,0.03316472243018394
981,ELCA,4,"Tốt cho Fresher/Junior . Thân thiện với người mới. Nhiều thứ tương đối ổn định.
Không có OT, ko có gì đáng nói. Nói chung quan trọng là estimate tốt, còn estimate nát quá thì thọt thôi. . Process rườm rà.
Nhiều dev thâm niên thường phức tạp hóa vấn đề.",Positive,Neutral,0.9220279045663128,Phủ định hoặc cấu trúc phức tạp,0.03970674437411458,0.9220279045663128,0.038265351059572454
466,Bosch Global Software Technologies Company Limited,2,"Cần OT nhiều để kịp deadline . Môi trường làm việc tốt, thoải mái.
Đồng nghiệp vui vẻ, hòa đồng. . Đa phần là support cho Bosch Ấn Độ.
Không phù hợp cho sinh viên mới ra trường muốn đi theo hướng thiên về kỹ thuật.
Nếu vào theo đúng chuyên ngành và department thì sẽ có công việc phù hợp, còn không thì sẽ rất chán.
Tùy theo project, cần OT nhiều để kịp deadline, nhưng không có benefits xứng đáng, lương không cao.
Cần cải thiện thời gian estimate, giảm thời gian OT.
Đánh gia tăng lương còn nhiều điểm không hợp lý.",Negative,Neutral,0.9047587125379024,Mixed sentiment / nhiều vế ý,0.08851622032885743,0.9047587125379024,0.006725067133240145
